city,lat,lng,country,iso2,admin_name
Azemmour,33.2833,-8.3333,Morocco,MA,Casablanca-Settat
El Hajeb,33.6928,-5.3711,Morocco,MA,Fès-Meknès
Jerada,34.31,-2.16,Morocco,MA,Oriental
El Aïoun,34.5726,-2.5127,Morocco,MA,Oriental
Tameslouht,31.5,-8.1,Morocco,MA,Marrakech-Safi
Sidi Yahia El Gharb,34.3058,-6.3058,Morocco,MA,Rabat-Salé-Kénitra
Chichaoua,31.5333,-8.7667,Morocco,MA,Marrakech-Safi
Al ’Attawia,31.83,-7.31,Morocco,MA,Marrakech-Safi
Tabount,30.9014,-6.9217,Morocco,MA,Drâa-Tafilalet
Zaïo,34.9396,-2.7334,Morocco,MA,Oriental
Aguelmous,33.1324,-5.8366,Morocco,MA,Béni Mellal-Khénifra
Asilah,35.4667,-6.0333,Morocco,MA,Tanger-Tétouan-Al Hoceïma
Imzouren,35.1464,-3.8506,Morocco,MA,Tanger-Tétouan-Al Hoceïma
Mediouna,33.4556,-7.5208,Morocco,MA,Casablanca-Settat
Demnat,31.7311,-7.0361,Morocco,MA,Béni Mellal-Khénifra
Aïn Taoujdat,33.9333,-5.2167,Morocco,MA,Fès-Meknès
Sidi Smai’il,32.8167,-8.5,Morocco,MA,Casablanca-Settat
Moulay Bousselham,34.8786,-6.2933,Morocco,MA,Rabat-Salé-Kénitra
Mechraa Bel Ksiri,34.56,-5.95,Morocco,MA,Rabat-Salé-Kénitra
Souk et Tnine Jorf el Mellah,34.4945,-5.5047,Morocco,MA,Rabat-Salé-Kénitra
Zeghanghane,35.1575,-3.0017,Morocco,MA,Oriental
Oulad Barhil,30.6408,-8.475,Morocco,MA,Souss-Massa
Bir Jdid,33.3737,-8.0002,Morocco,MA,Casablanca-Settat
Bou Arfa,32.531,-1.9631,Morocco,MA,Oriental
Tahannawt,31.3514,-7.9508,Morocco,MA,Marrakech-Safi
Arfoud,31.4361,-4.2328,Morocco,MA,Drâa-Tafilalet
Tahla,34.05,-4.42,Morocco,MA,Fès-Meknès
Missour,33.05,-3.9908,Morocco,MA,Fès-Meknès
Sidi Lmokhtar,31.57,-9.01,Morocco,MA,Marrakech-Safi
Douar Toulal,33.8951,-5.6021,Morocco,MA,Fès-Meknès
Oulad Yaïch,32.4167,-6.3333,Morocco,MA,Béni Mellal-Khénifra
Zawyat ech Cheïkh,32.6541,-5.9214,Morocco,MA,Béni Mellal-Khénifra
Imi-n-Tanout,31.177,-8.8504,Morocco,MA,Marrakech-Safi
Sebt Gzoula,32.1219,-9.0889,Morocco,MA,Marrakech-Safi
Tifariti,26.158,-10.567,Morocco,MA,Laâyoune-Sakia El Hamra
