city,date,max_temp,min_temp,max_wind_speed,max_wind_gusts,weather_code,max_precipitation_probability,sum_precipitation
Casablanca,2026-09-17,25.4,19.9,12.2,35.6,3,0,0.0
Casablanca,2026-09-18,25.2,18.3,11.9,32.4,3,0,0.0
Casablanca,2026-09-19,26.7,19.5,11.5,32.0,45,0,0.0
Tangier,2026-09-17,26.9,17.6,10.6,25.6,3,0,0.0
Tangier,2026-09-18,28.1,19.0,20.3,47.5,3,0,0.0
Tangier,2026-09-19,27.8,22.5,31.1,74.9,2,0,0.0
Fès,2026-09-17,29.0,18.1,12.0,32.8,3,0,0.0
Fès,2026-09-18,31.6,17.9,9.8,26.6,2,0,0.0
Fès,2026-09-19,34.3,21.2,18.9,47.9,2,0,0.0
Marrakech,2026-09-17,30.4,18.4,10.5,31.7,2,0,0.0
Marrakech,2026-09-18,32.5,18.6,8.0,23.4,3,0,0.0
Marrakech,2026-09-19,36.3,21.1,9.0,27.4,3,5,0.2
Sale,2026-09-17,25.6,18.7,11.8,31.3,3,0,0.0
Sale,2026-09-18,26.0,17.0,14.1,36.0,45,0,0.0
Sale,2026-09-19,28.9,17.3,12.4,32.0,2,0,0.0
Meknès,2026-09-17,27.9,15.6,13.1,34.9,45,0,0.0
Meknès,2026-09-18,30.0,16.0,12.4,33.8,3,0,0.0
Meknès,2026-09-19,34.2,19.1,12.9,35.3,2,3,0.0
Rabat,2026-09-17,25.6,18.8,11.8,31.3,3,0,0.0
Rabat,2026-09-18,26.1,17.0,14.1,36.0,45,0,0.0
Rabat,2026-09-19,28.9,17.4,12.4,32.0,2,0,0.0
Agadir,2026-09-17,28.8,20.6,13.7,37.8,3,0,0.0
Agadir,2026-09-18,26.3,19.8,13.0,36.4,2,0,0.0
Agadir,2026-09-19,26.6,20.7,13.7,39.2,2,0,0.0
Kenitra,2026-09-17,26.3,18.3,11.9,29.9,3,0,0.0
Kenitra,2026-09-18,27.7,16.0,14.3,36.4,45,0,0.0
Kenitra,2026-09-19,33.7,17.3,16.1,40.3,45,0,0.0
Oujda-Angad,2026-09-17,28.6,15.6,17.5,36.4,3,0,0.0
Oujda-Angad,2026-09-18,27.6,16.8,18.6,40.3,45,3,0.0
Oujda-Angad,2026-09-19,29.5,18.5,21.7,45.4,45,45,0.1
Tétouan,2026-09-17,28.1,14.9,10.8,27.4,3,0,0.0
Tétouan,2026-09-18,26.6,19.2,19.8,46.8,3,0,0.0
Tétouan,2026-09-19,26.7,22.4,32.4,78.5,2,0,0.0
Safi,2026-09-17,24.9,19.3,21.2,38.9,2,0,0.0
Safi,2026-09-18,25.9,18.9,22.4,40.0,2,0,0.0
Safi,2026-09-19,27.5,19.2,19.9,36.4,2,0,0.0
Taourirt,2026-09-17,30.4,20.1,24.2,40.3,3,0,0.0
Taourirt,2026-09-18,29.3,18.6,29.3,48.2,45,3,0.0
Taourirt,2026-09-19,29.5,19.8,33.9,55.8,3,10,0.0
Temara,2026-09-17,25.3,18.5,12.2,33.1,3,0,0.0
Temara,2026-09-18,26.1,16.4,14.0,36.4,45,0,0.0
Temara,2026-09-19,28.8,17.0,11.9,32.4,2,0,0.0
Laâyoune,2026-09-17,28.0,21.4,31.1,60.5,51,0,0.2
Laâyoune,2026-09-18,27.2,19.9,26.9,52.2,51,6,0.4
Laâyoune,2026-09-19,28.9,18.4,24.2,47.9,3,0,0.0
El Jadid,2026-09-17,25.1,20.6,13.5,25.2,3,0,0.0
El Jadid,2026-09-18,24.6,19.9,17.7,31.7,3,0,0.0
El Jadid,2026-09-19,25.7,20.9,16.4,30.2,2,0,0.0
Ait Melloul,2026-09-17,27.2,21.3,16.4,33.8,3,0,0.0
Ait Melloul,2026-09-18,26.1,19.9,17.6,35.6,2,0,0.0
Ait Melloul,2026-09-19,26.4,20.6,20.4,40.3,2,0,0.0
Béni Mellal,2026-09-17,30.2,19.2,10.1,28.1,2,0,0.0
Béni Mellal,2026-09-18,32.2,18.9,10.5,27.0,3,0,0.0
Béni Mellal,2026-09-19,35.9,22.8,16.0,42.1,2,0,0.0
Bouskoura,2026-09-17,26.4,18.9,14.7,37.4,3,0,0.0
Bouskoura,2026-09-18,27.4,16.7,13.8,34.6,3,0,0.0
Bouskoura,2026-09-19,29.7,18.5,14.1,35.3,45,0,0.0
Tiznit,2026-09-17,23.4,19.9,22.3,37.8,3,0,0.0
Tiznit,2026-09-18,25.5,19.2,21.7,36.7,2,0,0.0
Tiznit,2026-09-19,27.2,19.7,16.1,27.0,2,0,0.0
